127.0.0.1 - - [16/May/2018:11:12:21 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:24 +0700] "GET /E-Invoice_System/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:25 +0700] "GET /E-Invoice_System/login HTTP/1.1" 200 3529
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:25 +0700] "GET /E-Invoice_System/resources/assets/css/LoginStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:25 +0700] "GET /E-Invoice_System/resources/assets/css/HeaderFooterStyle.css HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:25 +0700] "GET /E-Invoice_System/resources/assets/img/avatar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:26 +0700] "GET /E-Invoice_System/resources/assets/img/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:33 +0700] "POST /E-Invoice_System/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:35 +0700] "GET /E-Invoice_System/ HTTP/1.1" 200 12607
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:36 +0700] "GET /E-Invoice_System/resources/assets/css/list_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:36 +0700] "GET /E-Invoice_System/resources/assets/css/HeaderFooterStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:36 +0700] "GET /E-Invoice_System/resources/assets/css/calender.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:36 +0700] "GET /E-Invoice_System/resources/assets/js/searchAll.js HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:36 +0700] "GET /E-Invoice_System/resources/assets/css/Invoices.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:36 +0700] "GET /E-Invoice_System/resources/assets/js/AddInvoiceType.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:36 +0700] "GET /E-Invoice_System/resources/assets/js/InvoicesMain.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:36 +0700] "GET /E-Invoice_System/resources/assets/js/InvoiceForm.js HTTP/1.1" 200 3594
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:36 +0700] "GET /E-Invoice_System/resources/assets/js/Setlimit.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:36 +0700] "GET /E-Invoice_System/resources/assets/img/webLogo.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:36 +0700] "GET /E-Invoice_System/resources/assets/js/calendar.js HTTP/1.1" 200 12860
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:39 +0700] "GET /E-Invoice_System/getAllTypeInforByDate/2018-05-16 HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:39 +0700] "GET /E-Invoice_System/getTypeInfor/1 HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:39 +0700] "GET /E-Invoice_System/getTypeInfor/2 HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:39 +0700] "GET /E-Invoice_System/getInvoiceFromUser HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:40 +0700] "GET /E-Invoice_System/getlimitmoney HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:40 +0700] "GET /E-Invoice_System/getreport/2018/5 HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:40 +0700] "GET /E-Invoice_System/getreport/2018 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [16/May/2018:11:12:41 +0700] "GET /E-Invoice_System/gettypereport/2018/5/16 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [16/May/2018:11:13:03 +0700] "GET /E-Invoice_System/Search?cCode=-999999&dateMin=1970-1-1&dateMax=3000-12-31&moneyMin=0&moneyMax=1000000000&type=1&invoiceNo=none&firstResult=0&maxResults=10 HTTP/1.1" 200 4697
0:0:0:0:0:0:0:1 - - [16/May/2018:11:13:03 +0700] "GET /E-Invoice_System/resources/assets/css/list_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:11:13:03 +0700] "GET /E-Invoice_System/resources/assets/css/HeaderFooterStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:11:13:04 +0700] "GET /E-Invoice_System/resources/assets/css/calender.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:11:13:04 +0700] "GET /E-Invoice_System/resources/assets/js/searchAll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:11:13:04 +0700] "GET /E-Invoice_System/resources/assets/js/searchPage.js HTTP/1.1" 200 7964
0:0:0:0:0:0:0:1 - - [16/May/2018:11:13:04 +0700] "GET /E-Invoice_System/resources/assets/img/webLogo.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:11:13:04 +0700] "GET /E-Invoice_System/resources/assets/css/Invoices.css HTTP/1.1" 304 -
